reference_designator,site_name,site_url,site_area,wp_mapping
RS01SBPS,Oregon Slope Base Shallow Profiler,/research-sites/oregon-slope-base/,Oregon Slope Base,518
CE04OSPS,Oregon Offshore Shallow Profiler,/research-sites/oregon-offshore/,Oregon Offshore,518
RS03AXPS,Axial Base Shallow Profiler,/research-sites/axial-base/,Axial Base,518
CE02SHBP,Oregon Shelf Cabled Benthic Experiment Package,/research-sites/oregon-shelf/,Oregon Shelf,512
CE04OSBP,Oregon Offshore Cabled Benthic Experiment Package,/research-sites/oregon-offshore/,Oregon Offshore,512
RS01SLBS,Oregon Slope Base Seafloor,/research-sites/oregon-slope-base/,Oregon Slope Base,512
RS03ASHS,ASHES Vent Field,/research-sites/axial-caldera/ashes/,Axial Caldera,512
RS03AXBS,Axial Base Seafloor,/research-sites/axial-base/,Axial Base,512
RS01SBPD,Oregon Slope Base Deep Profiler,/research-sites/oregon-slope-base/,Oregon Slope Base,516
RS01SUM1,Southern Hydrate Summit 2 Seafloor,/research-sites/southern-hydrate-ridge/,Southern Hydrate Ridge,429
RS01SUM2,Southern Hydrate Summit 2 Seafloor,/research-sites/southern-hydrate-ridge/,Southern Hydrate Ridge,429
RS03AXPD,Axial Base Deep Profiler,/research-sites/axial-base/,Axial Base,516
RS03CCAL,Central Caldera,/research-sites/axial-caldera/central/,Axial Caldera,444
RS03ECAL,Eastern Caldera,/research-sites/axial-caldera/eastern/,Axial Caldera,446
RS03INT1,International District Vent Field 1,/research-sites/axial-caldera/international-district/,Axial Caldera,442
RS03INT2,International District Vent Field 2,/research-sites/axial-caldera/international-district/,Axial Caldera,442
CE04OSPD,Oregon Offshore Cabled Deep Profiler,/research-sites/oregon-offshore/,Oregon Offshore,516